"","einkommen","alter","teilnahme_fak","gesundh_ausgaben","teilnahme"
"1",47.9505424499512,25,"Ja",19.5809020996094,1
"2",38.0587310791016,31,"Ja",2.39885449409485,1
"3",46.0958251953125,59,"Ja",0,1
"4",48.9034004211426,36,"Ja",20.0269088745117,1
"5",38.9088096618652,39,"Ja",16.6646862030029,1
"6",40.1839256286621,35,"Ja",0.11554642021656,1
"7",41.6908798217773,31,"Ja",0,1
"8",49.1097373962402,58,"Ja",17.2236976623535,1
"9",41.6908798217773,25,"Ja",1.28490090370178,1
"10",44.6275100708008,40,"Ja",6.41748237609863,1
"11",45.9412689208984,24,"Ja",2.52997136116028,1
"12",42.185474395752,41,"Ja",1.42787098884583,1
"13",44.1251945495605,28,"Ja",11.0932378768921,1
"14",40.274341583252,51,"Ja",6.48236179351807,1
"15",45.3485336303711,47,"Ja",4.92354297637939,1
"16",46.4304504394531,41,"Ja",0.354052722454071,1
"17",45.1684684753418,26,"Ja",1.20998978614807,1
"18",41.381763458252,41,"Ja",3.11101841926575,1
"19",49.4961357116699,27,"Ja",49.6851463317871,1
"20",39.9443588256836,43,"Ja",1.21086144447327,1
"21",41.381763458252,32,"Ja",14.989296913147,1
"22",44.2411117553711,32,"Ja",2.18736958503723,1
"23",45.5548667907715,40,"Ja",3.00965619087219,1
"24",41.1499214172363,48,"Ja",4.21855163574219,1
"25",47.0231857299805,33,"Ja",2.84588837623596,1
"26",47.2805252075195,67,"Ja",0.75062483549118,1
"27",49.3029365539551,33,"Ja",0,1
"28",47.5641403198242,51,"Ja",3.74251770973206,1
"29",47.9505424499512,73,"Ja",0.512689769268036,1
"30",49.7024726867676,68,"Ja",0,1
"31",39.0888748168945,29,"Ja",1.58163285255432,1
"32",49.8825340270996,61,"Ja",9.08862781524658,1
"33",48.4142189025879,42,"Ja",0.0588333122432232,1
"34",41.459041595459,38,"Ja",1.12854599952698,1
"35",43.7001533508301,41,"Ja",0.510587871074677,1
"36",47.4868621826172,28,"Ja",0.0759841948747635,1
"37",49.9598159790039,71,"Ja",0,1
"38",41.8454399108887,34,"Ja",0,1
"39",48.6460571289062,57,"Ja",4.10089206695557,1
"40",46.4435844421387,32,"Ja",0,1
"41",47.4095840454102,28,"Ja",2.49296498298645,1
"42",44.3956718444824,34,"Ja",0,1
"43",42.7341575622559,33,"Ja",0.265970408916473,1
"44",49.8052558898926,36,"Ja",3.75289273262024,1
"45",48.1050987243652,76,"Ja",11.9903936386108,1
"46",48.2596588134766,36,"Ja",1.29679131507874,1
"47",46.5595054626465,24,"Ja",0,1
"48",48.2596588134766,27,"Ja",1.57764744758606,1
"49",47.2295188903809,40,"Ja",0.801330745220184,1
"50",46.4049453735352,38,"Ja",0,1
"51",46.0958251953125,35,"Ja",0,1
"52",46.520866394043,47,"Ja",0,1
"53",49.8415756225586,60,"Ja",0,1
"54",45.4907264709473,63,"Ja",2.88487076759338,1
"55",44.5502319335938,27,"Ja",0.364113032817841,1
"56",46.4049453735352,32,"Ja",7.06619167327881,1
"57",47.5255012512207,78,"Ja",0,1
"58",42.7727966308594,43,"Ja",0,1
"59",42.540958404541,66,"Ja",0.56083220243454,1
"60",46.3276672363281,31,"Ja",1.95121216773987,1
"61",41.922721862793,56,"Ja",6.58877563476562,1
"62",48.2596588134766,50,"Ja",0,1
"63",43.5455932617188,47,"Ja",0,1
"64",47.2704811096191,78,"Ja",4.01911544799805,1
"65",46.7913436889648,43,"Ja",0.102624133229256,1
"66",45.6321487426758,42,"Ja",8.30574893951416,1
"67",44.3956718444824,26,"Ja",5.33355331420898,1
"68",46.9459037780762,26,"Ja",3.19119191169739,1
"69",43.1591949462891,31,"Ja",3.28648400306702,1
"70",44.7047920227051,42,"Ja",8.46056461334229,1
"71",46.8686256408691,27,"Ja",1.68471741676331,1
"72",44.5502319335938,24,"Ja",2.98730683326721,1
"73",46.2503852844238,23,"Ja",15.1568746566772,1
"74",49.8825340270996,27,"Ja",0,1
"75",38.3678512573242,33,"Ja",0,1
"76",48.3369407653809,33,"Ja",0,1
"77",46.4822273254395,41,"Ja",7.95604610443115,1
"78",47.3323020935059,21,"Ja",11.5200319290161,1
"79",45.7094268798828,51,"Ja",3.98968720436096,1
"80",34.1020088195801,42,"Ja",0,1
"81",31.799072265625,34,"Ja",0.784026324748993,1
"82",43.2364768981934,28,"Ja",0,1
"83",48.1050987243652,29,"Ja",2.21101880073547,1
"84",44.7047920227051,43,"Ja",16.7907638549805,1
"85",45.7867088317871,52,"Ja",4.9213399887085,1
"86",40.1197814941406,43,"Ja",0.984786212444305,1
"87",40.4289016723633,61,"Ja",1.79042363166809,1
"88",36.1136016845703,53,"Ja",3.45340752601624,1
"89",41.3044815063477,87,"Ja",4.15105724334717,1
"90",34.3493041992188,38,"Ja",4.29790782928467,1
"91",44.7047920227051,37,"Ja",4.37617683410645,1
"92",47.4289016723633,44,"Ja",9.91823863983154,1
"93",42.1159210205078,41,"Ja",0,1
"94",46.1731071472168,34,"Ja",7.58159923553467,1
"95",45.4775886535645,47,"Ja",14.3909540176392,1
"96",44.8338470458984,56,"Ja",0,1
"97",44.3701705932617,59,"Ja",2.85335278511047,1
"98",48.0023155212402,38,"Ja",6.39132976531982,1
"99",34.5811424255371,33,"Ja",6.22560977935791,1
"100",40.0680046081543,32,"Ja",2.48713040351868,1
"101",44.3956718444824,28,"Ja",0,1
"102",42.077278137207,41,"Ja",3.97501301765442,1
"103",45.4544067382812,33,"Ja",1.1384642124176,1
"104",46.6367835998535,28,"Ja",12.1729173660278,1
"105",45.3230285644531,29,"Ja",9.4450216293335,1
"106",49.0710983276367,73,"Ja",4.06147956848145,1
"107",49.0710983276367,26,"Ja",14.5474538803101,1
"108",47.1004638671875,26,"Ja",11.14710521698,1
"109",44.0092735290527,28,"Ja",12.13685131073,1
"110",44.0092735290527,22,"Ja",5.15344715118408,1
"111",43.5455932617188,46,"Ja",6.6262788772583,1
"112",44.6661529541016,30,"Ja",1.06211018562317,1
